series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed
series17,network4,Broadcast,1,U,2:00 PM,daytime,312,"1,644,586",2642426.8,26.00%
series1177,network4,Broadcast,4,T,10:00 PM,prime,60,"1,639,888",965336.0811,54.61%
series890,network13,Broadcast,4,T,10:00 PM,prime,60,"1,623,129",734533.8386,42.55%
series872,network34,Cable,20,M T W R F,1:00 AM,latefringe,60,"1,616,653",932715.4317,55.85%
series1059,network32,Cable,9,M T W R F S U,10:00 AM,daytime,30,"1,599,612",557284.5,67.00%
series19,network4,Broadcast,1,S,8:30 PM,prime,178,"1,599,092",1767497.356,31.33%
series376,network10,Cable,20,M T W R F,7:00 PM,primeaccess,60,"1,595,034",591399.8511,36.24%
series637,network36,Cable,20,M T W R F,7:00 PM,primeaccess,60,"1,580,875",581292.9447,35.92%
series266,network36,Cable,20,M T W R F,10:00 AM,daytime,60,"1,578,330",651360,40.00%
series266,network36,Cable,20,M T W R F,3:00 PM,daytime,60,"1,574,525",651160,40.00%
series16,network5,Broadcast,3,M F,10:00 PM,prime,60,"1,569,798",716001.6889,42.76%
series266,network36,Cable,20,M T W R F,11:00 AM,daytime,60,"1,566,424",669060,42.00%
series346,network5,Broadcast,3,U,9:00 PM,prime,61,"1,560,212",855506.4969,50.31%
series266,network36,Cable,20,M T W R F,1:00 PM,daytime,60,"1,559,932",646900,41.00%
series759,network13,Broadcast,4,W,8:00 PM,prime,60,"1,557,100",691376.4744,42.56%
series805,network32,Cable,27,M T W R F S U,2:00 AM,overnight,30,"1,553,342",590486.2531,74.23%
series266,network36,Cable,20,M T W R F,12:00 PM,daytime,60,"1,541,105",644660,41.00%
series1321,network13,Broadcast,8,S U,8:00 AM,earlymorning,60,"1,538,833",749064.9586,45.39%
series1393,network13,Broadcast,24,M T W R F S,7:00 PM,primeaccess,30,"1,535,126",521329.2078,64.75%
series1117,network4,Broadcast,3,U,8:00 PM,prime,60,"1,525,830",781709.2011,48.03%
series94,network13,Broadcast,4,U,8:00 PM,prime,60,"1,525,505",605832.8658,37.98%
series539,network4,Broadcast,3,M,10:00 PM,prime,60,"1,519,434",812997.3669,49.79%
series387,network4,Broadcast,20,M T W R F,6:30 PM,earlyfringe,30,"1,519,357",435604.6514,54.84%
series734,network32,Cable,15,M T W R F,10:30 AM,daytime,30,"1,518,753",565290,72.00%
series1217,network32,Cable,16,M T W R F U,11:00 PM,latefringe,30,"1,514,817",502619.1958,64.45%
series1029,network5,Broadcast,4,F,8:00 PM,prime,60,"1,514,334",726261.7275,45.64%
series196,network18,Broadcast,10,R S U,9:00 PM,prime,60,"1,506,727",440738.0394,40.86%
series1217,network32,Cable,18,M T W R F S U,12:00 AM,latefringe,30,"1,501,601",541624.7236,70.05%
series773,network56,Cable,20,M T W R F,6:00 AM,earlymorning,180,"1,495,903",927933.9889,18.93%
series33,network4,Broadcast,1,U,8:00 PM,prime,180,"1,495,060",1513999.796,28.64%
series705,network26,Cable,20,M T W R F,12:30 PM,daytime,30,"1,491,716",478400,62.00%
series379,network13,Broadcast,24,M T W R F U,4:30 AM,overnight,30,"1,483,874",448288.4456,58.76%
series214,network32,Cable,15,M T W R F,11:00 AM,daytime,30,"1,480,697",583290,76.00%
series1062,network11,Cable,22,M T W R F S,2:00 AM,overnight,60,"1,479,502",793877.3164,52.45%
series394,network21,Cable,24,M T W R F S,4:30 PM,earlyfringe,30,"1,472,720",451382.35,59.84%
series965,network4,Broadcast,4,R,8:31 PM,prime,29,"1,471,328",467230.5858,62.64%
series500,network32,Cable,15,M T W R F,10:00 AM,daytime,30,"1,470,236",563610,74.00%
series1059,network32,Cable,12,M T W R F S,2:00 PM,daytime,30,"1,443,139",479130,64.00%
series286,network21,Cable,16,M T W R,11:00 PM,latefringe,60,"1,441,507",552650.3692,37.27%
series1142,network1,Cable,20,M T W R F,2:00 PM,daytime,60,"1,440,178",766960,51.00%
series470,network21,Cable,20,M T W R F,5:30 PM,earlyfringe,30,"1,420,426",425690.4306,58.54%
series805,network32,Cable,27,M T W R F S U,2:30 AM,overnight,30,"1,418,846",561907.1719,77.38%
series497,network18,Broadcast,4,T,8:00 PM,prime,61,"1,414,738",609499.5667,40.30%
series956,network26,Cable,16,M T W F,12:00 AM,latefringe,15,"1,411,461",280237.6672,77.24%
series387,network5,Broadcast,21,M T W R F S,6:30 PM,earlyfringe,30,"1,406,872",437392.1222,59.34%
series587,network32,Cable,7,F S U,7:30 PM,primeaccess,30,"1,405,715",472799.0872,63.73%
series1217,network32,Cable,19,M T W R F S U,12:30 AM,latefringe,30,"1,405,417",534917.2192,74.04%
series1059,network32,Cable,8,M T W R F S U,10:30 AM,daytime,30,"1,403,508",508112,69.00%
series188,network4,Broadcast,3,F,10:00 PM,prime,60,"1,396,878",838669.4619,55.89%
